GENESIS-Tabelle: 71211-0007
Steuereinnahmen: Bundesländer, Quartale, Steuerarten vor der;;;;;;;;;;;;;;;;;;
Steuerverteilung;;;;;;;;;;;;;;;;;;
Statistik über das Steueraufkommen;;;;;;;;;;;;;;;;;;
Steuereinnahmen (Tsd. EUR);;;;;;;;;;;;;;;;;;
;;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012
;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal
Baden-Württemberg;Lohnsteuer;5486497;5955957;5837577;6619337;5653345;5055637;5327583;6132949;4941843;5001419;5134515;6000547;5389667;5943007;5878576;6623212;5624565
Baden-Württemberg;Veranlagte Einkommensteuer;703335;2156088;1607079;1539779;540984;1508045;1131868;1141538;1415740;1813050;1200443;1293218;755015;1606746;1170073;1358460;1205536
Baden-Württemberg;Nicht veranlagte Steuern vom Ertrag;326272;878243;338999;550859;351583;534495;246009;264305;215162;444398;253230;363824;2583760;1147819;319893;138476;140816
Baden-Württemberg;Abgeltungssteuer;615834;250292;300585;334573;649409;267314;263848;203062;568011;112647;163894;153486;455673;147145;160102;140986;435937
Baden-Württemberg;Körperschaftsteuer;1027672;1023948;978219;322431;831598;457446;-343297;204879;29640;768280;247543;1125460;-1618694;693859;734087;1261197;994290
Baden-Württemberg;Umsatzsteuer;3712696;3076332;3642634;3636788;3466385;4099342;4249483;4502780;3940003;3860669;3751891;4028704;4022048;3775229;3753787;4358358;4171801
Baden-Württemberg;Landessteuern;894919;865653;739380;682706;820397;719370;475439;393980;503382;449279;489139;456181;504897;439399;475285;541209;532970
Baden-Württemberg;Vermögensteuer;-1612;-51;26;420;847;220;197;3892;108;10;39;-231;-705;-322;-20;55;47
Baden-Württemberg;Erbschaftsteuer;178058;276573;176556;177324;227517;195715;223754;157410;237573;209607;214439;182278;214846;177545;173118;184425;185847
Baden-Württemberg;Grunderwerbsteuer;236602;185283;193825;178740;168064;161991;189200;169521;188715;174669;216124;210412;214182;199721;236529;292613;268936
Baden-Württemberg;Kraftfahrzeugsteuer (Land);391728;332542;264540;264540;330930;304501;3;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Totalisatorsteuer;-;791;805;243;1;68;638;938;1;43;48;1088;-;630;51;959;1
Baden-Württemberg;Andere Rennwettsteuer;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Baden-Württemberg;Lotteriesteuer;52226;44447;51041;42751;56331;43884;42310;45390;42781;44150;40197;43772;44674;42289;44934;43159;44637
Baden-Württemberg;Feuerschutzsteuer;26712;12970;8219;7016;25868;232;5922;5865;23894;8979;5852;9356;22502;7728;8673;9569;23892
Baden-Württemberg;Biersteuer;11205;13093;14229;11666;10836;12539;13416;10961;10304;11820;12442;9505;9398;11804;12000;10426;9608
Baden-Württemberg;Sonstige Landessteuern;0;5;3;5;2;219;0;2;7;0;0;-;-;5;-;4;1
Baden-Württemberg;Gemeindesteuern;2121680;2046963;1966277;1597939;2098900;1651495;1256093;1202106;1327592;1736026;1631669;1689636;2125571;2014316;1880987;1786405;2017023
Baden-Württemberg;Grundsteuer A (Land- und Forstwirtschaft);9814;10846;13446;10183;9600;10283;14456;9426;9267;11632;15461;8851;9476;11950;15931;8115;9130
Baden-Württemberg;Grundsteuer B (Sonstige Grundstücke);278930;445231;400613;256507;277300;434565;413589;260335;293370;436216;476911;283085;311534;448861;489800;292478;320257
